Name,Price,Publisher,Date of Release,Category,Age Rating,Actual_size,Date
EasyCast - Mirror Di,1.0,Dolphin Systems,2017-06-12,Education  >  Study guides,3.0,45.19,Monday
Pride 2020 Conversat,1.0,Dolphin Systems,2017-06-12,Education  >  Study guides,3.0,45.19,Monday
LiquidText - Reading,1.0,LiquidText,2020-02-04,Productivity,3.0,280.92,Tuesday
HP PC Hardware Diagn,1.0,HP Inc.,2017-10-03,Productivity,3.0,100.57,Tuesday
Sketchable,1.0,Silicon Benders LLC,2013-12-21,Entertainment,3.0,165.27,Saturday
Moodle Desktop,1.0,Moodle Pty Ltd.,2017-07-03,Education  >  Instructional tools,3.0,168.97,Monday
Color Explosion,1.0,Microsoft Corporation,2017-08-11,Personalization  >  Themes,3.0,12.59,Friday
Samsung Gallery,1.0,Samsung Electronics Co. Ltd.,2016-12-11,Photo & video,3.0,176.02,Sunday
PDF Reader & Viewer,1.0,韵华软件,2017-08-24,Utilities & tools  >  File managers,3.0,25.18,Thursday
Video Player - Play ,1.0,Queenloft,2018-03-06,Photo & video,3.0,49.27,Tuesday
Pichon - Free Icons,1.0,Icons8 LLC,2019-03-18,Multimedia design  >  Illustration & graphic design,3.0,764.98,Monday
Surface Diagnostic T,1.0,Microsoft Corporation,2017-04-14,Utilities & tools,3.0,44.54,Friday
Dell Mobile Connect ,1.0,Screenovate Technologies,2017-12-31,Productivity,3.0,163.27,Sunday
Autumn Colors,1.0,Microsoft Corporation,2017-10-20,Personalization  >  Themes,3.0,23.56,Friday
Treehouses PREMIUM,1.0,Microsoft Corporation,2020-06-17,Personalization  >  Themes,3.0,25.19,Wednesday
Folder & File Lock,1.0,MedhaChaitanya,2018-11-09,Security  >  Personal security,3.0,38.23,Friday
File Analyzer,1.0,Bitberry Software,2020-12-15,Utilities & tools  >  File managers,3.0,13.1,Tuesday
Typing Practice for ,1.0,Dolphin Technologies,2019-04-12,Education  >  Study guides,3.0,59.59,Friday
Video Editor Studio ,1.0,Z Mobile Apps,2019-05-28,Photo & video,3.0,64.69,Tuesday
X-VPN - Best VPN Pro,1.0,Free Connected Limited.,2019-06-24,Productivity,3.0,30.8,Monday
Windows File Recover,1.0,Microsoft Corporation,2020-01-21,Utilities & tools  >  File managers,3.0,2.34,Tuesday
Share me Files,1.0,Roxy,2018-02-05,Productivity,3.0,26.5,Monday
Phototastic Collage,1.0,Thumbmunkeys Ltd,2014-12-12,Photo & video,3.0,70.03,Friday
Wallpapers 4K,1.0,Giuseppe Alioto,2017-03-17,Personalization  >  Wallpaper & lock screens,12.0,9.56,Friday
Duo Video Converter ,1.0,IOForth,2021-02-16,Photo & video,3.0,128.2,Tuesday
Notepads App,1.0,Jackie Liu,2019-07-02,Developer tools  >  Utilities,3.0,33.99,Tuesday
Lenovo Voice,1.0,LENOVO INC.,2020-08-27,Productivity,3.0,49.18,Thursday
Team Remote Desktop,1.0,Yellow Elephant Productions,2021-08-10,Productivity,3.0,361.21,Tuesday
Water Retreat PREMIU,1.0,Microsoft Corporation,2020-05-07,Personalization  >  Themes,3.0,12.32,Thursday
Torrex Lite - Torren,1.0,Finebits OÜ,2014-06-19,Utilities & tools,3.0,64.45,Thursday
xTorrent - Torrents ,1.0,VCApps,2021-05-25,Utilities & tools,3.0,43.01,Tuesday
Festival of Lights,1.0,Microsoft Corporation,2018-10-30,Personalization  >  Themes,3.0,11.68,Tuesday
Panoramic Cityscapes,1.0,Microsoft Corporation,2019-12-03,Personalization  >  Themes,3.0,29.74,Tuesday
draw.io Diagrams,1.0,JGraph Ltd,2019-08-22,Productivity,3.0,309.07,Thursday
Trello,1.0,"Trello, Inc.",2016-12-21,Business  >  Project management,12.0,186.43,Wednesday
VPN Unlimited®,1.0,KeepSolid Inc.,2019-01-26,Security  >  Personal security,3.0,133.53,Saturday
Screen Recorder Lite,1.0,Yellow Elephant Productions,2019-02-07,Productivity,3.0,39.84,Thursday
PDF Document Scanner,1.0,Ape Apps,2016-08-02,Productivity,3.0,59.21,Tuesday
Bing Wallpaper Downl,1.0,Shiyao Zhang,2020-05-15,Personalization  >  Wallpaper & lock screens,3.0,26.3,Friday
File Viewer Plus 4,1.0,Sharpened Productions,2020-11-11,Productivity,3.0,320.06,Wednesday
Live Home 3D - House,1.0,BeLight Software 3D USA LLC,2017-04-18,Productivity,3.0,338.92,Tuesday
"WinRare+ .. preview,",1.0,Mobility in Life applications,2021-03-17,Productivity,3.0,266.87,Wednesday
Video Editor Music -,1.0,Express Apps,2017-05-22,Photo & video,3.0,135.14,Monday
Painting in Light PR,1.0,Microsoft Corporation,2019-11-07,Personalization  >  Themes,3.0,41.0,Thursday
Poster Maker: Thumbn,1.0,Z Mobile Apps,2019-01-17,Photo & video,3.0,139.43,Thursday
Presentation pptx fr,1.0,Christian Regli,2019-12-09,Business  >  Data & analytics,3.0,42.8,Monday
Reclaimed by Nature,1.0,Microsoft Corporation,2020-04-30,Personalization  >  Themes,3.0,9.55,Thursday
Videoder - Video Dow,1.0,Helix Studio,2021-03-03,Entertainment,12.0,22.64,Wednesday
lnkd.in,1.0,Koode,2015-10-24,Social,12.0,22.1,Saturday
WiFi Analyzer,1.0,Matt Hafner,2015-07-30,Utilities & tools,3.0,29.04,Thursday
Beach Time PREMIUM,1.0,Microsoft Corporation,2019-10-29,Personalization  >  Themes,3.0,16.23,Tuesday
Dropbox for S mode,1.0,Dropbox Inc.,2013-01-07,Productivity,3.0,48.11,Monday
WinDynamicDesktop,1.0,Timothy Johnson,2018-07-10,Personalization  >  Wallpaper & lock screens,3.0,11.44,Tuesday
"Rar Extractor, Rar F",1.0,Swisspix,2018-04-10,Utilities & tools,3.0,26.83,Tuesday
"Music Editor : Trim,",1.0,Swisspix,2018-04-10,Utilities & tools,3.0,26.83,Tuesday
WinZip Universal,1.0,WinZip Computing,2016-02-04,Productivity,3.0,25.7,Thursday
Porsche 911 GT2 RS -,1.0,Microsoft Corporation,2017-09-19,Personalization  >  Themes,3.0,22.49,Tuesday
Master Of English Ty,1.0,Future Techno,2020-07-29,Developer tools  >  Reference & training,3.0,59.93,Wednesday
Xdrop - Fastest File,1.0,ProjectX Co.,2021-03-31,Productivity,3.0,23.88,Wednesday
Clipchamp - Video Ed,1.0,Clipchamp,2020-12-15,Photo & video,3.0,1.84,Tuesday
National Geographic ,1.0,Microsoft Corporation,2019-11-13,Personalization  >  Themes,3.0,7.24,Wednesday
PowerShell,1.0,Microsoft Corporation,2019-11-13,Personalization  >  Themes,3.0,7.24,Wednesday
Warm Winter Nights,1.0,Microsoft Corporation,2019-11-13,Personalization  >  Themes,3.0,7.24,Wednesday
Panoramic Train View,1.0,Microsoft Corporation,2019-11-28,Personalization  >  Themes,3.0,31.54,Thursday
Extract,1.0,stdlib,2020-02-25,Utilities & tools,3.0,25.73,Tuesday
Whales and Dolphins ,1.0,stdlib,2020-02-25,Utilities & tools,3.0,25.73,Tuesday
SUV Racing Xtreme,1.0,stdlib,2020-02-25,Utilities & tools,3.0,25.73,Tuesday
Logo Maker - Logo Cr,1.0,Photo Cool Apps,2018-07-18,Photo & video,3.0,80.34,Wednesday
123 Photo Viewer,1.0,Photo Cool Apps,2018-07-18,Photo & video,3.0,80.34,Wednesday
Xbox Insider Hub,1.0,Microsoft Corporation,2019-06-05,Entertainment,3.0,73.44,Wednesday
Planner 5D - Home & ,1.0,UAB Planner5D,2016-03-29,Productivity,3.0,2020.0,Tuesday
MSI Dragon Center,1.0,"MICRO-STAR INTERNATIONAL CO., LTD",2019-04-16,Utilities & tools  >  Backup & manage,3.0,708.64,Tuesday
Vega Video Editor,1.0,Photo Cool Apps,2021-03-26,Photo & video,3.0,139.32,Friday
C Lite Browser,1.0,CM Developers,2020-09-22,Productivity,3.0,5.26,Tuesday
Crosshair V2,1.0,CenterPoint Gaming,2020-05-26,Entertainment,3.0,8.53,Tuesday
Audiotonic - Audio E,1.0,Blusky Software Inc.,2019-12-09,Utilities & tools,3.0,104.19,Monday
HP QuickDrop,1.0,HP Inc.,2019-10-31,Utilities & tools,3.0,55.45,Thursday
Screen Recorder - Vi,1.0,Queenloft,2021-06-21,Productivity,3.0,97.16,Monday
Ink Journal,1.0,Microsoft Corporation,2018-03-28,Personalization  >  Fonts,3.0,160.0,Wednesday
Ford F-150 Raptor Xb,1.0,Microsoft Corporation,2018-01-26,Personalization  >  Themes,3.0,8.83,Friday
One Calendar,1.0,Code Spark,2014-02-07,Productivity,3.0,61.44,Friday
Diagnostic Data View,1.0,Microsoft Corporation,2017-12-04,Utilities & tools,3.0,29.85,Monday
Coloring Book: Drawi,1.0,devel0per,2019-05-10,Entertainment,3.0,38.96,Friday
PPTX Viewer,1.0,韵华软件,2019-01-09,Utilities & tools  >  File managers,3.0,45.36,Wednesday
Music Maker Jam,1.0,MAGIX,2012-05-18,Music,3.0,308.79,Friday
Panda Bears,1.0,Microsoft Corporation,2020-01-14,Personalization  >  Themes,3.0,4.1,Tuesday
English Dictionary -,1.0,NxeCcde24 Labs,2017-08-14,Education  >  Language,3.0,101.09,Monday
Screen Recording Sta,1.0,winuwp,2021-09-14,Photo & video,3.0,228.14,Tuesday
Amazon Rainforest,1.0,Microsoft Corporation,2018-08-24,Personalization  >  Themes,3.0,14.89,Friday
"OfficeSuite - PDF, M",1.0,MobiSystems,2019-01-25,Productivity,3.0,503.97,Friday
Cloud Drive! : OneDr,1.0,Define Studio,2016-02-21,Social,3.0,33.89,Sunday
Light Trails PREMIUM,1.0,Microsoft Corporation,2019-11-28,Personalization  >  Themes,3.0,29.19,Thursday
Java Programming,1.0,webvin softwares,2017-10-20,Books & reference  >  Reference,3.0,19.88,Friday
Tuber - Video Downlo,1.0,Invotech,2021-03-15,Entertainment,12.0,22.27,Monday
Amazon Wildlife PREM,1.0,Microsoft Corporation,2020-04-29,Personalization  >  Themes,3.0,9.4,Wednesday
"Flow Mail : Outlook,",1.0,Define Studio,2016-03-27,Productivity,12.0,25.5,Sunday
Animation Desk - Dra,1.0,Kdan Mobile Software Ltd.,2017-10-24,Entertainment,3.0,89.41,Tuesday
Animal Portraits PRE,1.0,Microsoft Corporation,2020-05-07,Personalization  >  Themes,3.0,10.64,Thursday
Awesome Tube - Playe,1.0,3AM Studio,2016-03-23,Entertainment,12.0,56.96,Wednesday
Client 4 Google Phot,1.0,Piachu,2018-08-01,Photo & video,3.0,30.82,Wednesday
